"Variant SKU","Selling Price",LandingPage
EXNIHHDEDPW-100B,309.95,https://fragrancebuy.ca/products/exnihilohonoredelights-woman?variant=39825091461182
EXNIVGEDPM-100B,299.00,https://fragrancebuy.ca/products/exnihilovipergreen-man?variant=39825086382142
BERGRACVIOLM-100T,67.00,https://fragrancebuy.ca/products/berdouescollectiongrandscrusviolette-man?variant=39823069478974
BERCURSOMYOM-100T,67.00,https://fragrancebuy.ca/products/berdouescollectiongrandscrussomeiyoshino-man?variant=39823047262270
BERCRUSCM-100T,67.00,https://fragrancebuy.ca/products/berdouescollectiongrandscrusscorzadisicilia-man?variant=39823026978878
BERCRUPENLAM-100T,67.00,https://fragrancebuy.ca/products/berdouescollectiongrandscruspenglai-man?variant=39823011381310
BERDOUDWWAM-100T,67.00,https://fragrancebuy.ca/products/berdouescollectiongrandscrusoudwaward-man?variant=39823001518142
BERGCRUSDOUWM-100T,67.00,https://fragrancebuy.ca/products/berdouescollectiongrandscrusoudwamisk-man?variant=39822969929790
BERCROWAAMM-100T,67.00,https://fragrancebuy.ca/products/berdouescollectiongrandscrusoudwaamber-man?variant=39822949613630
BRGRAZRIVM-100T,67.00,https://fragrancebuy.ca/products/berdouescollectiongrandscrusazurriviera-man?variant=39822853734462
BERDGRANCRAM-100T,67.00,https://fragrancebuy.ca/products/berdouescollectiongrandscrusarzelrab-man?variant=39822703689790
CARTRCARM-100B,95.00,https://fragrancebuy.ca/products/cartierrivieresdecartierallegresse-man?variant=39822574649406
ARMPRIVCYPPANTM-100B,219.95,https://fragrancebuy.ca/products/armaniprivecyprespantelleria-man?variant=39822500986942
PRIPGUEDTW-100B,15.77,https://fragrancebuy.ca/products/armafprimepecantguilt-woman?variant=39822474215486
MONTALWOODONFIRM-100B,119.00,https://fragrancebuy.ca/products/montalewoodonfire-man?variant=39822371979326
CAYIAPFW-50B,37.95,https://fragrancebuy.ca/products/cacharelyesiampink-woman?variant=39818234626110
ARABOKASHMM-100B,179.00,https://fragrancebuy.ca/products/arabianoudkashmirmusk-woman?variant=39817691332670
ARABOUKALM-100B,139.95,https://fragrancebuy.ca/products/arabianoudkalemat-man?variant=39817664397374
ARABOARLEM-100B,219.00,https://fragrancebuy.ca/products/arabianoudarabianleather-man?variant=39817657188414
ARAOSOLBLM-75B,179.00,https://fragrancebuy.ca/products/arabianoudsolidblack-man?variant=39817651716158
ARABOUDSOLM-75B,179.00,https://fragrancebuy.ca/products/arabianoudsolid-man?variant=39817640607806
ARABOUWOODINM-100B,149.00,https://fragrancebuy.ca/products/arabianoudwoodyintense-man?variant=39817614295102
ARABOUDIWM-100B,229.95,https://fragrancebuy.ca/products/arabianouddiwan-man?variant=39817604628542
ARABOUDCODM-100B,139.00,https://fragrancebuy.ca/products/oudcodearabianoud-man?variant=39817478307902
CARTNEDPM-100B,199.00,https://fragrancebuy.ca/products/carontabacnoir-man?variant=39817398452286
CAROTBEXEDPW-100B,199.00,https://fragrancebuy.ca/products/carontabacexquis-man?variant=39817389113406
CAROSAPREDPM-100B,199.00,https://fragrancebuy.ca/products/caronsantalprecieux-man?variant=39817383051326
CARORIVEDPM-100B,199.00,https://fragrancebuy.ca/products/caronroseivoire-woman?variant=39817378005054
CAROREBEEDPM-100B,199.00,https://fragrancebuy.ca/products/caronroseebene-woman?variant=39817368633406
CARPDSENEDPW-100B,229.00,https://fragrancebuy.ca/products/caronpoisdesenteur-woman?variant=39817362604094
CARONARBLAW-100B,149.00,https://fragrancebuy.ca/products/caronnarcisseblanc-woman?variant=39817359786046
BVGLGLILEDPW-30B,119.00,https://fragrancebuy.ca/products/bvlgarilegemmelilaia-woman?variant=39817005367358
BVGLGMARAVLEDPW-30B,115.00,https://fragrancebuy.ca/products/bvlgarilegemmemaravilla-woman?variant=39816993505342
MICANANDW-100B,179.00,https://fragrancebuy.ca/products/mmicallefananda-woman?variant=39816984657982
BRITNSVIPPRSW-30B,19.95,https://fragrancebuy.ca/products/britneyspearsvipprivateshow-woman?variant=39816973221950
HFCVDCHICM-75T,229.95,https://fragrancebuy.ca/products/hautefragrancecompanyvoodoochic-woman?variant=39816953266238
HFCRICBRGW-75T,229.95,https://fragrancebuy.ca/products/hautefragrancecompanyrediceberg-woman?variant=39816929280062
HFCPROPW-75T,229.95,https://fragrancebuy.ca/products/hautefragrancecompanyproposal-woman?variant=39816925511742
HFCLVRM-75T,229.95,https://fragrancebuy.ca/products/hautefragrancecompanylover-man?variant=39816915255358
