ourCustomSKU,competitor_price,updated_at_est_time,tags
RYLCRWUPRCLSM-100T,279.95,2021-04-24 11:46,"13JULYY, 18novv2019, 20AUG2020, BLACKFRIDAY2021, PM21J"
CKFM-100B,28.75,2022-07-26 17:37,"26MAY221, 26MAY227, BLACKFRIDAY2021, LAND17MAR, NSPRICE9AUG2, PM21J, PREXMAS21, Price170"
SALFSINFW-100B,46.25,2022-10-22 4:47,"26MAY228, cf-type-women, NSPRICE9AUG5, perfume"
XERDONEDPM-50B,154.95,2022-09-08 0:27,"1OCT2020, 2020-06-30 00:00:00 -0400, 26MAY225, 28jun2020, BLACKFRIDAY2021, NSPRICE9AUG9, PM21J, Update14, Update9"
SALFSIGELEW-100B,58.25,2022-09-08 0:26,"26MAY221, NS19JULY22, NSPRICE9AUG2, Price170"
URUM-100B,29.45,2022-09-08 0:27,"BLACKFRIDAY2021, NSPRICE9AUG4, PM21J, PRICE2SEP, Update2"
COOWW-100T,20.15,2022-10-22 13:26,"26MAY221, 26MAY227, BLACKFRIDAY2021, NP18JUN22, NS14APR22, NS28MAR22NS, NS7MAY, NSPRICE9AUG2, NSPRICE9SEP, PM21J, PM21J1, PREXMAS21, PRICE2SEP, Update10, Update2, Update21"
COAM-100B,64.95,2022-10-19 17:39,"25MAYY2021, BLACKFRIDAY2021, NS15JUL22, NS19AUG22, NS7MAY, NSPRICE19OCT22, NSPRICE23SEP22, PM21J, PREXMAS21, PRICE2SEP, Update1, Update21, Update9"
TOMFLM-50B,214.95,2021-02-08 6:35,20augg2019
LATPOM-100B,19.25,2022-10-19 15:14,14SEPP2021
JULGUNMMW-100B,106.45,2022-08-30 4:24,"26MAY223, BLACKFRIDAY2021, newproducts, NSPRICE9AUG6, perfume, Update14"
DOLDGW-75B,71.95,2019-10-24 14:30,"Black-Friday, BLACKFRIDAY2021, cf-type-women, NS7MAY, NSPRICE9AUG3, perfume, PREXMAS21, Update4"
BURBRM-50B,29.45,2022-02-07 18:57,"BLACKFRIDAY2021, PM21J, PREXMAS21, PRICE2SEP, Update13, Update5"
BENTLINM-100B,44.45,2022-09-16 15:49,"26MAY223, BLACKFRIDAY2021, NSPRICE9AUG5, PM21J, PREXMAS21, PRICE2SEP, Update1"
LAPETRBEW-100T,89.95,2022-10-19 16:32,"20julyy2021aj, 26MAY221, BLACKFRIDAY2021, NS13APR, NS25MAR22, NS29AUG22, NSPRICE26SEP22, Update11"
AMENPMALTM-100B,149.95,2021-06-25 18:53,07-Oct-19
JOONFM-125B,64.95,2022-06-24 9:46,"7OCT2019, cf-type-men, perfume"
CABOTGOLDW-100B,21.25,2022-10-06 18:25,"5DECC21, BLACKFRIDAY2021, PM21J, PRICE2SEP, Update4, Update5"
ESTLMODMURSCHW-100B,74.95,2021-10-13 14:04,PRICE2SEP
MICAKOWM-100B,116.45,2022-10-05 20:27,"26MAY224, 3SEPP2019, Update3"
OXYM-100B,27.85,2022-09-27 22:00,"BLACKFRIDAY2021, NP18JUN222, NSPRICE9AUG2, PM21J, PRICESHEET1, Update3"
DAIDW-50B,64.25,2022-10-19 23:21,"14SEPP2021, 20julyy2021aj, 26MAY222, 26MAY227, BLACKFRIDAY2021, NS15JUL22, NS19AUG22, NSPRICE9AUG3, Update11, Update2, Update22"
BURSW-100B,34.95,2020-09-02 10:09,PRICE2SEP
MARJDTWINKW-50B,49,2022-03-18 6:23,"12FEBB2021, 1augg2019"
